item_id	country	media_type	code	relevant	relevance_500	relevance_100	relevance_1000
435	Australia	Blog	2	0	0.350596	0.127279	0.114822
436	Australia	Blog	2	0	0.207921	0	0.037472
447	Australia	Blog	2	0	0.352326	0.361032	0.295982
450	Australia	Blog	2	0	0.072818	0	0
451	Australia	Blog	2	0	0.106378	0.020978	0.042962
452	Australia	Blog	2	0	0.202671	0	0.026048
453	Australia	Blog	2	0	-1	-1	-1
454	Australia	Blog	2	0	0.170686	0	0.071949
455	Australia	Blog	2	0	-1	-1	-1
527	Switzerland	Blog	2	0	0.289073	0.050641	0.150382
532	Switzerland	Blog	2	0	0.235388	0.383649	0
533	Switzerland	Blog	2	0	0.59987	0.258213	0.038322
535	Switzerland	Blog	2	0	0.464728	0.627671	0.298173
536	Switzerland	Blog	2	0	0.431601	0	0
537	Switzerland	Blog	2	0	0.339496	0.1688	0.103018
542	Turkey	Blog	2	0	0.297802	0.121428	0.190149
543	Turkey	Blog	2	0	0.285703	0.299032	0.27141
591	Switzerland	Blog	2	0	0.381797	0.08022	0.163018
592	Turkey	Blog	2	0	0.253527	0.052683	0.098374
593	Turkey	Blog	2	0	0.172748	0.215132	0.264815
594	Turkey	Blog	2	0	0.079979	0.149789	0.129621
967	Australia	Blog	2	0	0.210033	0.064357	0.054481
968	Australia	Blog	2	0	0.088039	0	0.03107
1007	Turkey	Blog	2	0	0.210198	0.262605	0.055727
1008	Turkey	Blog	2	0	0.187343	0.476684	0.099307
1009	Turkey	Blog	2	0	0.059553	0.089671	0.021501
1016	Turkey	Blog	2	0	0.086635	0.085682	0.082421
1025	Australia	Blog	2	0	0.120593	0.063626	0.015438
1026	Australia	Blog	2	0	0.104154	0.253436	0.042361
1027	Australia	Blog	2	0	0.262672	0.096648	0.111675
1028	Switzerland	Blog	2	0	0	0.073977	0
1029	Switzerland	Blog	2	0	0.049611	0.1523	0.011705
1030	Switzerland	Blog	2	0	0.022911	0	0.338254
1031	Switzerland	Blog	2	0	0	0	0.228098
1032	Switzerland	Blog	2	0	0	0	0.101137
1033	Switzerland	Blog	2	0	0	0	0.124474
1034	Switzerland	Blog	2	0	0	0	0.051014
1035	Switzerland	Blog	2	0	0	0	0.511722
1036	Switzerland	Blog	2	0	0	0	0.181623
1037	Switzerland	Blog	2	0	0	0	0
1038	Switzerland	Blog	2	0	0.024257	0.028231	0.148608
1039	Switzerland	Blog	2	0	0	0	0
1053	Turkey	Blog	2	0	0.271727	0.253508	0.25933
1666	Australia	Blog	1	0	0.533552	0.282875	0.24944
